Nombre;Particion;Capacidad;Consumido;Libre;PorcentajeLibre
app01;/opt;4.086;478;3.608;88
app01;/boot;1.014;346;668;65
app01;/var/log/audit;3.062;92;2.970;97
app01;/home/jboss;40.942;1.672;39.270;95
app01;/;8.182;3.987;4.195;51
app01;/home;4.086;128;3.958;96
app01;/var/log;5.110;2.180;2.930;57
app01;/var;13.302;2.414;10.888;81
app01;/tmp;3.062;214;2.848;93
app02;/var/log;5.110;2.243;2.867;56
app02;/;8.182;4.615;3.567;43
app02;/home;4.086;125;3.961;96
app02;/varios;15.350;4.986;10.364;67
app02;/var;6.134;3.426;2.708;44
app02;/boot;1.014;348;666;65
app02;/tmp;3.062;54;3.008;98
app02;/var/log/audit;3.062;92;2.970;96
app02;/opt;4.086;447;3.639;89
app02;/home/jboss;40.942;3.740;37.202;90
app03;/var/log/audit;3.062;87;2.975;97
app03;/tmp;3.062;54;3.008;98
app03;/var/log;5.110;2.290;2.820;55
app03;/boot;1.014;345;669;66
app03;/;8.182;4.618;3.564;43
app03;/home;4.086;62;4.024;98
app03;/opt;4.086;447;3.639;89
app03;/home/jboss;40.942;1.080;39.862;97
app03;/var;13.302;3.407;9.895;74
app04;/home/jboss;40.942;2.792;38.150;93
app04;/var/log/audit;3.062;88;2.974;97
app04;/home;4.086;75;4.011;98
app04;/opt;4.086;1.957;2.129;52
app04;/var/log;5.110;2.228;2.882;56
app04;/var;18.422;2.542;15.880;86
app04;/tmp;3.062;54;3.008;98
app04;/boot;1.014;345;669;66
app04;/;8.182;4.567;3.615;44
app05;/tmp;3.062;54;3.008;98
app05;/home/jboss;40.942;889;40.053;97
app05;/var/log;5.110;2.213;2.897;56
app05;/var/log/audit;3.062;89;2.973;97
app05;/boot;1.014;345;669;66
app05;/var;13.302;2.630;10.672;80
app05;/;8.182;4.728;3.454;42
app05;/home;4.086;81;4.005;98
app05;/opt;4.086;447;3.639;89
app06;/opt;4.086;447;3.639;89
app06;/tmp;3.062;469;2.593;84
app06;/var/log/audit;3.062;95;2.967;96
app06;/boot;1.014;345;669;66
app06;/home;4.086;177;3.909;95
app06;/var/log;5.110;2.550;2.560;50
app06;/;8.182;4.612;3.570;43
app06;/home/jboss;40.942;5.015;35.927;87
app06;/var;13.302;2.631;10.671;80
app07;/tmp;3.062;54;3.008;98
app07;/var/log/audit;3.062;87;2.975;97
app07;/;8.182;4.649;3.533;43
app07;/varios;10.230;107;10.123;98
app07;/home/jboss;40.942;6.885;34.057;83
app07;/var/log;5.110;2.524;2.586;50
app07;/var;13.302;3.423;9.879;74
app07;/home;4.086;105;3.981;97
app07;/opt;4.086;447;3.639;89
app07;/boot;1.014;345;669;66
app08;/var/log;7.158;2.629;4.529;63
app08;/tmp;3.062;54;3.008;98
app08;/;8.182;4.222;3.960;48
app08;/home;4.086;1.359;2.727;66
app08;/var/log/audit;3.062;88;2.974;97
app08;/home/jboss;40.942;35.576;5.366;13
app08;/boot;1.014;345;669;66
app08;/opt;4.086;1.021;3.065;75
app08;/var;13.302;3.953;9.349;70
app09;/;8.182;4.951;3.231;39
app09;/home;4.086;1.624;2.462;60
app09;/opt;4.086;1.935;2.151;52
app09;/var/log/audit;3.062;89;2.973;97
app09;/var/log;5.110;2.507;2.603;50
app09;/tmp;3.062;63;2.999;97
app09;/boot;1.014;345;669;66
app09;/home/jboss;40.942;4.556;36.386;88
app09;/var;13.302;2.720;10.582;79
app10;/tmp;3.062;54;3.008;98
app10;/;8.182;4.650;3.532;43
app10;/home;4.086;133;3.953;96
app10;/opt;4.086;447;3.639;89
app10;/var/log;5.110;1.567;3.543;69
app10;/home/jboss;40.942;7.503;33.439;81
app10;/var;13.302;889;12.413;93
app10;/boot;1.014;348;666;65
app10;/var/log/audit;3.062;93;2.969;96
app11;/opt;4.086;447;3.639;89
app11;/;8.182;4.647;3.535;43
app11;/home/jboss;81.902;14.676;67.226;82
app11;/var/log;5.110;2.256;2.854;55
app11;/var/log/audit;3.062;93;2.969;96
app11;/var;13.302;894;12.408;93
app11;/tmp;3.062;54;3.008;98
app11;/home;4.086;316;3.770;92
app11;/boot;1.014;348;666;65
app12;/var/log/audit;3.062;87;2.975;97
app12;/home/jboss;81.902;12.953;68.949;84
app12;/var;13.302;838;12.464;93
app12;/;8.182;4.572;3.610;44
app12;/boot;1.014;345;669;66
app12;/var/log;5.110;2.290;2.820;55
app12;/tmp;3.062;54;3.008;98
app12;/opt;4.086;447;3.639;89
app12;/home;4.086;64;4.022;98
app13;/var/log;5.110;2.592;2.518;49
app13;/opt;4.086;447;3.639;89
app13;/tmp;3.062;58;3.004;98
app13;/home;4.086;229;3.857;94
app13;/boot;1.014;345;669;66
app13;/home/jboss;40.942;9.319;31.623;77
app13;/;8.182;4.541;3.641;44
app13;/var;13.302;2.609;10.693;80
app13;/var/log/audit;3.062;90;2.972;97
app14;/tmp;3.062;132;2.930;95
app14;/home;4.086;1.571;2.515;61
app14;/;8.182;4.590;3.592;43
app14;/var/log/audit;3.062;87;2.975;97
app14;/var/log;5.110;2.060;3.050;59
app14;/var;13.302;2.597;10.705;80
app14;/home/jboss;40.942;12.258;28.684;70
app14;/opt;4.086;1.861;2.225;54
app14;/boot;1.014;345;669;66
app15;/tmp;3.062;64;2.998;97
app15;/boot;1.014;344;670;66
app15;/;8.182;4.626;3.556;43
app15;/opt;4.086;447;3.639;89
app15;/home/jboss;40.942;15.861;25.081;61
app15;/var/log;5.110;2.171;2.939;57
app15;/var;13.302;896;12.406;93
app15;/home;4.086;149;3.937;96
app15;/var/log/audit;3.062;87;2.975;97
app16;/tmp;3.062;101;2.961;96
app16;/opt;4.086;447;3.639;89
app16;/var/log/audit;3.062;95;2.967;96
app16;/;8.182;4.619;3.563;43
app16;/boot;1.014;348;666;65
app16;/var/log;5.110;2.167;2.943;57
app16;/home/jboss;81.902;50.327;31.575;38
app16;/var;18.422;985;17.437;94
app16;/home;4.086;733;3.353;82
app17;/var/log/audit;3.062;92;2.970;97
app17;/var/log;5.110;1.998;3.112;60
app17;/home;4.086;68;4.018;98
app17;/home/jboss;40.942;1.340;39.602;96
app17;/tmp;3.062;54;3.008;98
app17;/var;13.302;2.664;10.638;79
app17;/boot;1.014;345;669;66
app17;/opt;4.086;447;3.639;89
app17;/;8.182;4.615;3.567;43
app18;/var/log;5.110;2.255;2.855;55
app18;/;8.182;4.566;3.616;44
app18;/opt;4.086;761;3.325;81
app18;/boot;1.014;348;666;65
app18;/var;13.302;2.676;10.626;79
app18;/home/jboss;40.942;3.727;37.215;90
app18;/home;4.086;71;4.015;98
app18;/var/log/audit;3.062;91;2.971;97
app18;/tmp;3.062;59;3.003;98
app19;/var/log/audit;3.062;93;2.969;96
app19;/var/log;5.110;1.605;3.505;68
app19;/;8.182;4.933;3.249;39
app19;/home;4.086;2.097;1.989;48
app19;/boot;1.014;345;669;66
app19;/opt;4.086;447;3.639;89
app19;/tmp;3.062;55;3.007;98
app19;/var;21.494;968;20.526;95
app19;/home/jboss;40.942;4.610;36.332;88
app20;/;8.182;4.611;3.571;43
app20;/home/jboss;40.942;3.544;37.398;91
app20;/tmp;3.062;60;3.002;98
app20;/boot;1.014;345;669;66
app20;/home;4.086;1.476;2.610;63
app20;/var/log;5.110;2.134;2.976;58
app20;/var;14.326;903;13.423;93
app20;/opt;4.086;447;3.639;89
app20;/var/log/audit;3.062;90;2.972;97
app21;/home/jboss;40.942;2.374;38.568;94
app21;/opt;4.086;447;3.639;89
app21;/home;4.086;69;4.017;98
app21;/var;13.302;2.523;10.779;81
app21;/var/log;5.110;2.436;2.674;52
app21;/;8.182;4.565;3.617;44
app21;/var/log/audit;3.062;92;2.970;97
app21;/boot;1.014;345;669;66
app21;/tmp;3.062;184;2.878;94
app22;/boot;1.014;345;669;66
app22;/var/log/audit;3.062;93;2.969;96
app22;/var/log;5.110;2.548;2.562;50
app22;/tmp;3.062;230;2.832;92
app22;/home;4.086;170;3.916;95
app22;/opt;4.086;1.957;2.129;52
app22;/;8.182;4.068;4.114;50
app22;/var;13.302;917;12.385;93
app22;/home/jboss;40.942;8.671;32.271;78
app23;/tmp;3.062;54;3.008;98
app23;/home/jboss;40.942;1.300;39.642;96
app23;/var;13.302;2.648;10.654;80
app23;/boot;1.014;345;669;66
app23;/;8.182;4.612;3.570;43
app23;/var/log;5.110;2.304;2.806;54
app23;/home;4.086;62;4.024;98
app23;/opt;4.086;447;3.639;89
app23;/var/log/audit;3.062;87;2.975;97
app24;/var;13.302;899;12.403;93
app24;/var/log;5.110;2.873;2.237;43
app24;/home/jboss;40.942;14.105;26.837;65
app24;/boot;1.014;344;670;66
app24;/home;4.086;1.004;3.082;75
app24;/;8.182;4.932;3.250;39
app24;/tmp;3.062;54;3.008;98
app24;/opt;4.086;1.698;2.388;58
app24;/var/log/audit;3.062;94;2.968;96
app25;/home/jboss;40.942;5.640;35.302;86
app25;/opt;4.086;1.930;2.156;52
app25;/var;13.302;2.606;10.696;80
